name,localName,sku,barcode,brand,category,subcategory,unit,purchasePrice,costPrice,retailPrice,wholesalePrice,openingStock,stockAlertQty,commissionPct,status,condition,description
IPHONE 16 E LCD,,REP-SCR-JCID-238,,JCID,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,25.00,25.00,31.25,,1.0,,,Active,New,
IPHONE 16 PRO LCD,,REP-SCR-JCID-240,,JCID,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,40.00,40.00,50.00,,1.0,,,Active,New,
HONER CASE AND GLASS,,SCR-GLASS-NON-597,,NON-BRANDED,SCREEN / DEVICE PROTECTION,CASE AND GLASS,Pieces,6.99,6.99,12.00,,0.0,,,Active,New,
ADDED 2TB SSD DRIVE,,ROM-DRIVE-WD-470,,WD,ROM,DRIVE,Pieces,180.00,180.00,180.00,,0.0,,,Active,New,
ADDED 1TB SSD DRIVE,,ROM-DRIVE-SAMS-466,,SAMSUNG,ROM,DRIVE,Pieces,120.00,120.00,129.00,,0.0,,,Active,New,
HONER 400 SMART GLASS AND CASE,,SCR-GLASS-NON-596,,NON-BRANDED,SCREEN / DEVICE PROTECTION,CASE AND GLASS,Pieces,7.00,7.00,15.00,,0.0,,,Active,New,
MOPHIE CHARGE STREAM DESK STAND,,ACC-CABLE-MOPH-54,,MOPHIE,ACCESSORIES,CHARGING / DATA CABLES,Pieces,0.00,0.00,29.00,,2.0,,,Active,New,
IPHONE X 64GB BLACK,,DEV-IPHONE-APPLE-114,,APPLE,DEVICES,IPHONE,Pieces,45.00,45.00,95.00,,0.0,,,Active,New,
DISPLY IP 11 PRO,,REP-SCR-NON-425,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,13.00,13.00,0.00,,2.0,,,Active,New,
DISPLY IP 8 PLUS WHITE,,REP-SCR-NON-430,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,8.00,8.00,0.00,,1.0,,,Active,New,
DISPLY IP XS MAX,,REP-SCR-NON-433,,NON-BRANDED,REPLACEMENT / REPAIR PARTS,SCREEN,Pieces,12.00,12.00,0.00,,2.0,,,Active,New,
APPLE MAGIC MOUSE,,ACC-MK-APPLE-27,,APPLE,ACCESSORIES,MOUSE / KEYPAD,Pieces,40.00,40.00,65.00,,1.0,,,Active,New,
APPLE WATCH SERIES 7 45MM,,GAD-WATCH-APPLE-996,,APPLE,WATCH,SMART WATCH,Pieces,70.00,70.00,129.00,,0.0,,,Active,New,
APPLE IPAD AIR 5TH GEN 10.9&QUOT; 64GB UNLOCKED WIFI/CELLULAR,,DEV-IPAD-APPLE-103,,APPLE,DEVICES,IPAD,Pieces,170.00,170.00,329.00,,0.0,,,Active,New,
APPLE IPAD 11 GENERATION A16 2025 WIFI ONLY 128GB PINK,,DEV-IPAD-APPLE-98,,APPLE,DEVICES,IPAD,Pieces,170.00,170.00,279.00,,0.0,,,Active,New,
LENOVO IDEAD PAD SLIM 5 ABYSS_BLUE,,DEV-LAP-LENO-128,,LENOVO,DEVICES,LAPTOP,Pieces,380.00,380.00,495.00,,0.0,,,Active,New,
24 HEMP 101 HEMP CONNOISSEUR KING SIZE SLIM ROLLING PAPRES WITH TIPS,,VAP-ROLPAP-HEMP-843,,HEMP 101,VAPES,ROLLING PAPERS,Pieces,1.27,1.27,2.54,,12.,,,Active,New,
HEMP 101 KING SIZE 100% HEMP SLIM ROLLING PAPERS CLASSIC WHITE,,VAP-ROLPAP-HEMP-844,,HEMP 101,VAPES,ROLLING PAPERS,Pieces,0.42,0.42,0.84,,25.,,,Active,New,
SANDISK 32GB SD CARD,,ROM-SDCARD-SAND-467,,SANDISK,ROM,SD CARD,Pieces,10.00,10.00,15.00,,3.0,,,Active,New,
